NAME,H1r_4861A,H1r_6563A,O3_4363A,O3_5007A,S2_6716A,S2_6731A,O2_3726A,H1r_4861Ae,H1r_6563Ae,O3_4363Ae,O3_5007Ae,S2_6716Ae,S2_6731Ae,O2_3726Ae
ngc1058-45,149.06453412320403,530.9144831686897,59.13683079348428,137.08784552193524,118.36673592363331,163.35829022826383,444.7552497759767,1.5560550216506368,1.513253735156903,2.1283051838631577,2.932521113395412,1.3427715498584087,1.4829525145338691,6.324141164986958
ngc1058-47,200.73307667000492,580.2814485035865,28.809296399627733,151.57805321474848,198.350796355186,294.48037909177316,335.34789280345325,4.581343066215892,5.461371737188284,5.40442439627177,4.205280120518103,3.7904141545078285,4.278773997423423,10.249296777817175
ngc1058-61,147.80224473369194,431.21449723629206,30.000612274699034,186.6165206470354,65.95536978073712,77.72652630477627,502.1767946585958,1.4052552075489526,1.6178398817922055,2.023135574790885,3.3090781554308237,1.3810043384717796,1.692394129415647,5.754444065628429
ngc1058-63,93.51072976399048,410.83973623374936,9.985083534839703,43.09903155607206,99.67378856523816,125.9977383709195,251.84879619408386,1.4989327358471844,1.7391094552441468,1.7779468360441175,1.6633942020079318,1.7077393037129809,1.8532903165912664,4.6284579696868855
ngc1058-72,129.54000584656276,433.3092385095868,24.83934552295397,41.941556250218675,101.53538918495695,140.14931531084548,210.3699954685361,2.0930244495059545,3.2900326883997972,2.5741525780676904,1.9632788106574584,1.8591312608525896,2.0708777999588897,5.859130893917736
ngc1058-73,113.18990767526535,391.05335870676805,8.551649893725546,34.48889218867147,95.92130051517063,134.8055819365344,245.0250045301013,1.906793253048721,2.4135497841294047,2.661683102160977,1.858613399018612,1.699705947521552,1.9897937189999984,5.24003232245079
ngc1058-76,60.059676238601675,305.9810251862841,19.26362644769033,65.10231213139745,65.53012517330549,88.54280429413531,188.6939638679084,1.9244274278078333,3.1760976712759335,1.6907637539572822,1.8391888342084608,1.699331428861464,2.1129691759140368,4.3868626320723365
ngc1058-78,86.48298566616323,293.9204963047892,50.21678811047799,361.2655287951371,46.19370835255136,65.58050557742283,306.9140835900934,1.5955902561702575,1.5697916005179668,2.0163529925726014,6.586522389305545,1.4786068274088418,1.7241627109399766,5.346291381741822
ngc1058-79,123.61647734063513,430.0475568151295,43.748331258114405,61.87927691922938,87.3774339172546,104.11798595755079,440.90487058298106,1.4949771038305248,1.7439911002288566,1.9686564494258076,1.7209993208082008,1.4366454227105985,1.533217252098234,5.719713577050557
ngc1058-82,102.2214504912081,358.0604656996145,26.101172083338252,45.105864754431245,98.68950269292549,120.19935560333586,208.44817552257,2.5249970938825634,3.8078997498511087,3.0985193105472284,2.0107564703568093,2.0436263092684577,2.2221333337445612,6.4613901466283385
ngc1058-83,119.88732754359987,378.6353137151621,15.695361835673244,30.493265553932467,110.07160356586179,151.97857330923827,198.53417315725468,2.287118446551021,3.0272943120441846,3.1951781434731856,1.8395167380314328,2.3245880460820576,2.7233018613940545,5.561517258740522
ngc1058-84,57.95114990113929,224.32431567961052,27.93735856522293,53.51011055547162,51.93191415697782,62.657994727494895,153.19646548751425,1.7554158123315762,1.442526474531711,1.9667043262678203,1.9407315343221316,1.3268954381211322,1.5584537187190983,4.835455912779358
ngc1058-91,132.59783724461195,392.2622384846312,13.815702169429096,34.31857626500373,116.17248609791771,144.62571844909547,199.96370032820255,2.5546915087798854,3.1830505228244403,3.944311537487669,2.171093278978208,1.9389705677150724,2.610006000089736,5.817604147848827
ngc1058-104,40.31577880298778,206.7136638743831,7.585381890205808,10.417749345395476,59.82105026639813,78.1826537806958,144.69724546170048,1.5632317011169732,2.4530243103657967,1.7331405026545934,1.497965796416044,1.6982554790383375,1.5745808782467543,3.9106343138445245
ngc1058-105,47.24608792734351,161.1601911154332,18.252100778735198,76.43719402292581,19.880885663990647,24.085583809480486,167.0376642790345,1.7909527833247654,1.4160223359048416,1.9455136163405864,1.9830698764959007,1.3612577677441986,1.4603284195007222,4.771576201093441
ngc1058-106,49.12296066284318,183.7384541571601,5.483202392547254,21.893254066847668,48.19381476100478,56.15800052591225,199.23868996343688,1.2026990937426374,1.2820558270568247,1.7214520955071384,1.400416890304799,1.1731632909249046,1.4447394898341743,3.7846227798207317
ngc1058-110,45.48319733260549,180.73828865291802,8.099350071460513,45.38740483601422,46.14631879070117,61.93125932204091,170.87725930651425,1.2562118061134535,1.2572419537372972,1.4970406492201391,1.628088185684769,1.3265227353315958,1.2351483663918386,3.5684289240834044
ngc1058-113,51.877306643278644,217.9877629307918,10.403243573436567,26.60482909651309,60.465449677456725,77.56805656273231,148.25173861267345,1.6899511198845427,2.6750386985689083,2.4891132883111275,1.7290181127836683,1.5922728044613943,1.8973908892876497,4.34074535860682
ngc1058-114,41.63133796122768,150.95505924538188,26.399751704576822,230.68196787832917,35.95016217805248,53.270408907216776,183.06075229785412,1.7728804828820928,2.8248824354043185,1.8996780063136207,6.745311774316876,1.1790998981012517,1.7610700886088313,5.642488480548688
ngc1058-117,59.368838240488714,202.16731883807847,11.6546347549671,22.785155054500734,51.64768058625064,67.74111632645429,132.59159140110978,2.684568876705457,3.1458247377953468,2.725360911846378,2.139576508514395,2.120240986569017,2.469520080772149,4.1835635429264135
ngc1058-118,38.02616876152022,129.61887632529655,16.83258951720926,17.07169083576341,32.00874762718473,33.15296735188087,119.82092680038782,1.2195917993166516,1.1228693665768954,1.9307618555512625,1.524577861496936,1.4270453917323984,1.4462554145590265,4.6653278444997195
ngc1058-119,41.540284104210855,152.2804887773082,10.200163468632152,38.8809237917198,32.83572260959542,40.06404114585787,132.24831090310994,1.2179027768877893,1.3746556437276385,1.978342010507384,1.516517455036131,1.1773073782296366,1.3824702955574883,3.4295720464310784
ngc1058-122,39.83656145444288,161.63686635147639,8.987089480342261,49.079329752367784,32.43804947316264,40.60947766612525,169.80879984297542,1.3213674592889229,1.2442643529792137,1.9012387051537183,1.7130450930535883,1.1514933619940078,1.4004519008349046,3.281847473450424
ngc1058-125,41.4908635856274,161.01281110701896,17.104725213738092,15.923251862844891,49.25229451948904,64.88709379219023,113.80610528093844,2.099178940131131,2.955929528821041,2.2368796922236296,1.795536639135992,1.8779051637773696,1.899022492107555,4.040160115762954
